encoder,suite,seed,task_id,task_description,n_episodes,n_success,success_rate
dinov2,libero_spatial,1,2,pick up the black bowl from table center and place it on the plate,50,45,0.9
dinov2,libero_spatial,1,3,pick up the black bowl on the cookie box and place it on the plate,50,39,0.78
dinov2,libero_spatial,1,4,pick up the black bowl in the top drawer of the wooden cabinet and place it on the plate,50,38,0.76
dinov2,libero_spatial,1,5,pick up the black bowl on the ramekin and place it on the plate,50,23,0.46
dinov2,libero_spatial,1,6,pick up the black bowl next to the cookie box and place it on the plate,50,39,0.78
dinov2,libero_spatial,1,7,pick up the black bowl on the stove and place it on the plate,50,35,0.7
dinov2,libero_spatial,1,8,pick up the black bowl next to the plate and place it on the plate,50,21,0.42
dinov2,libero_spatial,1,9,pick up the black bowl on the wooden cabinet and place it on the plate,50,31,0.62
dinov2,libero_spatial,2,0,pick up the black bowl between the plate and the ramekin and place it on the plate,50,36,0.72
dinov2,libero_spatial,2,1,pick up the black bowl next to the ramekin and place it on the plate,50,34,0.68
dinov2,libero_spatial,2,2,pick up the black bowl from table center and place it on the plate,50,49,0.98
dinov2,libero_spatial,2,3,pick up the black bowl on the cookie box and place it on the plate,50,41,0.82
dinov2,libero_spatial,2,4,pick up the black bowl in the top drawer of the wooden cabinet and place it on the plate,50,40,0.8
dinov2,libero_spatial,2,5,pick up the black bowl on the ramekin and place it on the plate,50,36,0.72
dinov2,libero_spatial,2,6,pick up the black bowl next to the cookie box and place it on the plate,50,42,0.84
dinov2,libero_spatial,2,7,pick up the black bowl on the stove and place it on the plate,50,35,0.7
dinov2,libero_spatial,2,8,pick up the black bowl next to the plate and place it on the plate,50,21,0.42
dinov2,libero_spatial,2,9,pick up the black bowl on the wooden cabinet and place it on the plate,50,35,0.7
siglip,libero_goal,1,0,open the middle drawer of the cabinet,50,48,0.96
siglip,libero_goal,1,1,put the bowl on the stove,50,50,1.0
siglip,libero_goal,1,2,put the wine bottle on top of the cabinet,50,50,1.0
siglip,libero_goal,1,3,open the top drawer and put the bowl inside,50,33,0.66
siglip,libero_goal,1,4,put the bowl on top of the cabinet,50,46,0.92
siglip,libero_goal,1,5,push the plate to the front of the stove,50,38,0.76
siglip,libero_goal,1,6,put the cream cheese in the bowl,50,37,0.74
siglip,libero_goal,1,7,turn on the stove,50,50,1.0
siglip,libero_goal,1,8,put the bowl on the plate,50,46,0.92
siglip,libero_goal,1,9,put the wine bottle on the rack,50,37,0.74
siglip,libero_goal,0,0,open the middle drawer of the cabinet,50,47,0.94
siglip,libero_goal,0,1,put the bowl on the stove,50,48,0.96
siglip,libero_goal,0,2,put the wine bottle on top of the cabinet,50,48,0.96
siglip,libero_goal,0,3,open the top drawer and put the bowl inside,50,35,0.7
siglip,libero_goal,0,4,put the bowl on top of the cabinet,50,47,0.94
siglip,libero_goal,0,5,push the plate to the front of the stove,50,32,0.64
siglip,libero_goal,0,6,put the cream cheese in the bowl,50,37,0.74
siglip,libero_goal,0,7,turn on the stove,50,50,1.0
siglip,libero_goal,0,8,put the bowl on the plate,50,43,0.86
siglip,libero_goal,0,9,put the wine bottle on the rack,50,37,0.74
siglip,libero_goal,2,0,open the middle drawer of the cabinet,50,49,0.98
siglip,libero_goal,2,1,put the bowl on the stove,50,49,0.98
siglip,libero_goal,2,2,put the wine bottle on top of the cabinet,50,46,0.92
siglip,libero_goal,2,3,open the top drawer and put the bowl inside,50,36,0.72
siglip,libero_goal,2,4,put the bowl on top of the cabinet,50,48,0.96
siglip,libero_goal,2,5,push the plate to the front of the stove,50,35,0.7
siglip,libero_goal,2,6,put the cream cheese in the bowl,50,29,0.58
siglip,libero_goal,2,7,turn on the stove,50,50,1.0
siglip,libero_goal,2,8,put the bowl on the plate,50,42,0.84
siglip,libero_goal,2,9,put the wine bottle on the rack,50,40,0.8
siglip,libero_object,0,0,pick up the alphabet soup and place it in the basket,50,48,0.96
siglip,libero_object,0,1,pick up the cream cheese and place it in the basket,50,43,0.86
siglip,libero_object,0,2,pick up the salad dressing and place it in the basket,50,50,1.0
siglip,libero_object,0,3,pick up the bbq sauce and place it in the basket,50,42,0.84
siglip,libero_object,0,4,pick up the ketchup and place it in the basket,50,46,0.92
siglip,libero_object,0,5,pick up the tomato sauce and place it in the basket,50,49,0.98
siglip,libero_object,0,6,pick up the butter and place it in the basket,50,41,0.82
siglip,libero_object,0,7,pick up the milk and place it in the basket,50,40,0.8
siglip,libero_object,0,8,pick up the chocolate pudding and place it in the basket,50,50,1.0
siglip,libero_object,0,9,pick up the orange juice and place it in the basket,50,50,1.0
siglip,libero_object,2,0,pick up the alphabet soup and place it in the basket,50,33,0.66
siglip,libero_object,2,1,pick up the cream cheese and place it in the basket,50,37,0.74
siglip,libero_object,2,2,pick up the salad dressing and place it in the basket,50,49,0.98
siglip,libero_object,2,3,pick up the bbq sauce and place it in the basket,50,45,0.9
siglip,libero_object,2,4,pick up the ketchup and place it in the basket,50,48,0.96
siglip,libero_object,2,5,pick up the tomato sauce and place it in the basket,50,46,0.92
siglip,libero_object,2,6,pick up the butter and place it in the basket,50,48,0.96
siglip,libero_object,2,7,pick up the milk and place it in the basket,50,37,0.74
siglip,libero_object,2,8,pick up the chocolate pudding and place it in the basket,50,49,0.98
siglip,libero_object,2,9,pick up the orange juice and place it in the basket,50,50,1.0
siglip,libero_object,1,0,pick up the alphabet soup and place it in the basket,50,48,0.96
siglip,libero_object,1,1,pick up the cream cheese and place it in the basket,50,42,0.84
siglip,libero_object,1,2,pick up the salad dressing and place it in the basket,50,50,1.0
siglip,libero_object,1,3,pick up the bbq sauce and place it in the basket,50,47,0.94
siglip,libero_object,1,4,pick up the ketchup and place it in the basket,50,48,0.96
siglip,libero_object,1,5,pick up the tomato sauce and place it in the basket,50,48,0.96
siglip,libero_object,1,6,pick up the butter and place it in the basket,50,45,0.9
siglip,libero_object,1,7,pick up the milk and place it in the basket,50,47,0.94
siglip,libero_object,1,8,pick up the chocolate pudding and place it in the basket,50,42,0.84
siglip,libero_object,1,9,pick up the orange juice and place it in the basket,50,43,0.86
siglip,libero_spatial,1,0,pick up the black bowl between the plate and the ramekin and place it on the plate,50,39,0.78
siglip,libero_spatial,1,1,pick up the black bowl next to the ramekin and place it on the plate,50,39,0.78
siglip,libero_spatial,1,2,pick up the black bowl from table center and place it on the plate,50,50,1.0
siglip,libero_spatial,1,3,pick up the black bowl on the cookie box and place it on the plate,50,42,0.84
siglip,libero_spatial,1,4,pick up the black bowl in the top drawer of the wooden cabinet and place it on the plate,50,45,0.9
siglip,libero_spatial,1,5,pick up the black bowl on the ramekin and place it on the plate,50,29,0.58
siglip,libero_spatial,1,6,pick up the black bowl next to the cookie box and place it on the plate,50,47,0.94
siglip,libero_spatial,1,7,pick up the black bowl on the stove and place it on the plate,50,43,0.86
siglip,libero_spatial,1,8,pick up the black bowl next to the plate and place it on the plate,50,30,0.6
siglip,libero_spatial,1,9,pick up the black bowl on the wooden cabinet and place it on the plate,50,35,0.7
siglip,libero_spatial,0,0,pick up the black bowl between the plate and the ramekin and place it on the plate,50,44,0.88
siglip,libero_spatial,0,1,pick up the black bowl next to the ramekin and place it on the plate,50,34,0.68
siglip,libero_spatial,0,2,pick up the black bowl from table center and place it on the plate,50,47,0.94
siglip,libero_spatial,0,3,pick up the black bowl on the cookie box and place it on the plate,50,44,0.88
siglip,libero_spatial,0,4,pick up the black bowl in the top drawer of the wooden cabinet and place it on the plate,50,31,0.62
siglip,libero_spatial,0,5,pick up the black bowl on the ramekin and place it on the plate,50,40,0.8
siglip,libero_spatial,0,6,pick up the black bowl next to the cookie box and place it on the plate,50,42,0.84
siglip,libero_spatial,0,7,pick up the black bowl on the stove and place it on the plate,50,40,0.8
siglip,libero_spatial,0,8,pick up the black bowl next to the plate and place it on the plate,50,38,0.76
siglip,libero_spatial,0,9,pick up the black bowl on the wooden cabinet and place it on the plate,50,34,0.68
siglip,libero_spatial,2,0,pick up the black bowl between the plate and the ramekin and place it on the plate,50,44,0.88
siglip,libero_spatial,2,1,pick up the black bowl next to the ramekin and place it on the plate,50,38,0.76
siglip,libero_spatial,2,2,pick up the black bowl from table center and place it on the plate,50,47,0.94
siglip,libero_spatial,2,3,pick up the black bowl on the cookie box and place it on the plate,50,41,0.82
siglip,libero_spatial,2,4,pick up the black bowl in the top drawer of the wooden cabinet and place it on the plate,50,37,0.74
siglip,libero_spatial,2,5,pick up the black bowl on the ramekin and place it on the plate,50,38,0.76
siglip,libero_spatial,2,6,pick up the black bowl next to the cookie box and place it on the plate,50,45,0.9
siglip,libero_spatial,2,7,pick up the black bowl on the stove and place it on the plate,50,43,0.86
siglip,libero_spatial,2,8,pick up the black bowl next to the plate and place it on the plate,50,38,0.76
siglip,libero_spatial,2,9,pick up the black bowl on the wooden cabinet and place it on the plate,50,39,0.78
two-stream-v11,libero_goal,1,0,open the middle drawer of the cabinet,50,39,0.78
two-stream-v11,libero_goal,1,1,put the bowl on the stove,50,2,0.04
two-stream-v11,libero_goal,1,2,put the wine bottle on top of the cabinet,50,21,0.42
two-stream-v11,libero_goal,1,3,open the top drawer and put the bowl inside,50,1,0.02
two-stream-v11,libero_goal,1,4,put the bowl on top of the cabinet,50,10,0.2
two-stream-v11,libero_goal,1,5,push the plate to the front of the stove,50,5,0.1
two-stream-v11,libero_goal,1,6,put the cream cheese in the bowl,50,1,0.02
two-stream-v11,libero_goal,1,7,turn on the stove,50,37,0.74
two-stream-v11,libero_goal,1,8,put the bowl on the plate,50,0,0.0
two-stream-v11,libero_goal,1,9,put the wine bottle on the rack,50,18,0.36
two-stream-v11,libero_goal,0,0,open the middle drawer of the cabinet,50,39,0.78
two-stream-v11,libero_goal,0,1,put the bowl on the stove,50,1,0.02
two-stream-v11,libero_goal,0,2,put the wine bottle on top of the cabinet,50,14,0.28
two-stream-v11,libero_goal,0,3,open the top drawer and put the bowl inside,50,2,0.04
two-stream-v11,libero_goal,0,4,put the bowl on top of the cabinet,50,13,0.26
two-stream-v11,libero_goal,0,5,push the plate to the front of the stove,50,8,0.16
two-stream-v11,libero_goal,0,6,put the cream cheese in the bowl,50,1,0.02
two-stream-v11,libero_goal,0,7,turn on the stove,50,19,0.38
two-stream-v11,libero_goal,0,8,put the bowl on the plate,50,3,0.06
two-stream-v11,libero_goal,0,9,put the wine bottle on the rack,50,16,0.32
two-stream-v11,libero_goal,2,0,open the middle drawer of the cabinet,50,40,0.8
two-stream-v11,libero_goal,2,1,put the bowl on the stove,50,3,0.06
two-stream-v11,libero_goal,2,2,put the wine bottle on top of the cabinet,50,27,0.54
two-stream-v11,libero_goal,2,3,open the top drawer and put the bowl inside,50,1,0.02
two-stream-v11,libero_goal,2,4,put the bowl on top of the cabinet,50,14,0.28
two-stream-v11,libero_goal,2,5,push the plate to the front of the stove,50,24,0.48
two-stream-v11,libero_goal,2,6,put the cream cheese in the bowl,50,0,0.0
two-stream-v11,libero_goal,2,7,turn on the stove,50,25,0.5
two-stream-v11,libero_goal,2,8,put the bowl on the plate,50,0,0.0
two-stream-v11,libero_goal,2,9,put the wine bottle on the rack,50,12,0.24
two-stream-v11,libero_object,0,0,pick up the alphabet soup and place it in the basket,50,0,0.0
two-stream-v11,libero_object,0,1,pick up the cream cheese and place it in the basket,50,5,0.1
two-stream-v11,libero_object,0,2,pick up the salad dressing and place it in the basket,50,0,0.0
two-stream-v11,libero_object,0,3,pick up the bbq sauce and place it in the basket,50,3,0.06
two-stream-v11,libero_object,0,4,pick up the ketchup and place it in the basket,50,0,0.0
two-stream-v11,libero_object,0,5,pick up the tomato sauce and place it in the basket,50,0,0.0
two-stream-v11,libero_object,0,6,pick up the butter and place it in the basket,50,0,0.0
two-stream-v11,libero_object,0,7,pick up the milk and place it in the basket,50,0,0.0
two-stream-v11,libero_object,0,8,pick up the chocolate pudding and place it in the basket,50,0,0.0
two-stream-v11,libero_object,0,9,pick up the orange juice and place it in the basket,50,0,0.0
two-stream-v11,libero_object,1,0,pick up the alphabet soup and place it in the basket,50,3,0.06
two-stream-v11,libero_object,1,1,pick up the cream cheese and place it in the basket,50,3,0.06
two-stream-v11,libero_object,1,2,pick up the salad dressing and place it in the basket,50,0,0.0
two-stream-v11,libero_object,1,3,pick up the bbq sauce and place it in the basket,50,0,0.0
two-stream-v11,libero_object,1,4,pick up the ketchup and place it in the basket,50,2,0.04
two-stream-v11,libero_object,1,5,pick up the tomato sauce and place it in the basket,50,4,0.08
two-stream-v11,libero_object,1,6,pick up the butter and place it in the basket,50,0,0.0
two-stream-v11,libero_object,1,7,pick up the milk and place it in the basket,50,3,0.06
two-stream-v11,libero_object,1,8,pick up the chocolate pudding and place it in the basket,50,1,0.02
two-stream-v11,libero_object,1,9,pick up the orange juice and place it in the basket,50,1,0.02
two-stream-v11,libero_object,2,0,pick up the alphabet soup and place it in the basket,50,0,0.0
two-stream-v11,libero_object,2,1,pick up the cream cheese and place it in the basket,50,2,0.04
two-stream-v11,libero_object,2,2,pick up the salad dressing and place it in the basket,50,2,0.04
two-stream-v11,libero_object,2,3,pick up the bbq sauce and place it in the basket,50,2,0.04
two-stream-v11,libero_object,2,4,pick up the ketchup and place it in the basket,50,1,0.02
two-stream-v11,libero_object,2,5,pick up the tomato sauce and place it in the basket,50,5,0.1
two-stream-v11,libero_object,2,6,pick up the butter and place it in the basket,50,1,0.02
two-stream-v11,libero_object,2,7,pick up the milk and place it in the basket,50,1,0.02
two-stream-v11,libero_object,2,8,pick up the chocolate pudding and place it in the basket,50,2,0.04
two-stream-v11,libero_object,2,9,pick up the orange juice and place it in the basket,50,4,0.08
two-stream-v11,libero_spatial,1,0,pick up the black bowl between the plate and the ramekin and place it on the plate,50,8,0.16
two-stream-v11,libero_spatial,1,1,pick up the black bowl next to the ramekin and place it on the plate,50,3,0.06
two-stream-v11,libero_spatial,1,2,pick up the black bowl from table center and place it on the plate,50,5,0.1
two-stream-v11,libero_spatial,1,3,pick up the black bowl on the cookie box and place it on the plate,50,1,0.02
two-stream-v11,libero_spatial,1,4,pick up the black bowl in the top drawer of the wooden cabinet and place it on the plate,50,1,0.02
two-stream-v11,libero_spatial,1,5,pick up the black bowl on the ramekin and place it on the plate,50,3,0.06
two-stream-v11,libero_spatial,1,6,pick up the black bowl next to the cookie box and place it on the plate,50,4,0.08
two-stream-v11,libero_spatial,1,7,pick up the black bowl on the stove and place it on the plate,50,9,0.18
two-stream-v11,libero_spatial,1,8,pick up the black bowl next to the plate and place it on the plate,50,4,0.08
two-stream-v11,libero_spatial,1,9,pick up the black bowl on the wooden cabinet and place it on the plate,50,2,0.04
two-stream-v11,libero_spatial,0,0,pick up the black bowl between the plate and the ramekin and place it on the plate,50,10,0.2
two-stream-v11,libero_spatial,0,1,pick up the black bowl next to the ramekin and place it on the plate,50,0,0.0
two-stream-v11,libero_spatial,0,2,pick up the black bowl from table center and place it on the plate,50,2,0.04
two-stream-v11,libero_spatial,0,3,pick up the black bowl on the cookie box and place it on the plate,50,0,0.0
two-stream-v11,libero_spatial,0,4,pick up the black bowl in the top drawer of the wooden cabinet and place it on the plate,50,2,0.04
two-stream-v11,libero_spatial,0,5,pick up the black bowl on the ramekin and place it on the plate,50,6,0.12
two-stream-v11,libero_spatial,0,6,pick up the black bowl next to the cookie box and place it on the plate,50,0,0.0
two-stream-v11,libero_spatial,0,7,pick up the black bowl on the stove and place it on the plate,50,7,0.14
two-stream-v11,libero_spatial,0,8,pick up the black bowl next to the plate and place it on the plate,50,5,0.1
two-stream-v11,libero_spatial,0,9,pick up the black bowl on the wooden cabinet and place it on the plate,50,3,0.06
two-stream-v11,libero_spatial,2,0,pick up the black bowl between the plate and the ramekin and place it on the plate,50,6,0.12
two-stream-v11,libero_spatial,2,1,pick up the black bowl next to the ramekin and place it on the plate,50,0,0.0
two-stream-v11,libero_spatial,2,2,pick up the black bowl from table center and place it on the plate,50,0,0.0
two-stream-v11,libero_spatial,2,3,pick up the black bowl on the cookie box and place it on the plate,50,0,0.0
two-stream-v11,libero_spatial,2,4,pick up the black bowl in the top drawer of the wooden cabinet and place it on the plate,50,0,0.0
two-stream-v11,libero_spatial,2,5,pick up the black bowl on the ramekin and place it on the plate,50,4,0.08
two-stream-v11,libero_spatial,2,6,pick up the black bowl next to the cookie box and place it on the plate,50,1,0.02
two-stream-v11,libero_spatial,2,7,pick up the black bowl on the stove and place it on the plate,50,2,0.04
two-stream-v11,libero_spatial,2,8,pick up the black bowl next to the plate and place it on the plate,50,3,0.06
two-stream-v11,libero_spatial,2,9,pick up the black bowl on the wooden cabinet and place it on the plate,50,0,0.0
two-stream-v15-mp,libero_spatial,1,0,pick up the black bowl between the plate and the ramekin and place it on the plate,50,10,0.2
two-stream-v15-mp,libero_spatial,1,1,pick up the black bowl next to the ramekin and place it on the plate,50,24,0.48
two-stream-v15-mp,libero_spatial,1,2,pick up the black bowl from table center and place it on the plate,50,38,0.76
two-stream-v15-mp,libero_spatial,1,3,pick up the black bowl on the cookie box and place it on the plate,50,22,0.44
two-stream-v15-mp,libero_spatial,1,4,pick up the black bowl in the top drawer of the wooden cabinet and place it on the plate,50,11,0.22
two-stream-v15-mp,libero_spatial,1,5,pick up the black bowl on the ramekin and place it on the plate,50,12,0.24
two-stream-v15-mp,libero_spatial,1,6,pick up the black bowl next to the cookie box and place it on the plate,50,37,0.74
two-stream-v15-mp,libero_spatial,1,7,pick up the black bowl on the stove and place it on the plate,50,34,0.68
two-stream-v15-mp,libero_spatial,1,8,pick up the black bowl next to the plate and place it on the plate,50,16,0.32
two-stream-v15-mp,libero_spatial,1,9,pick up the black bowl on the wooden cabinet and place it on the plate,50,13,0.26
two-stream-v15-mp,libero_spatial,0,0,pick up the black bowl between the plate and the ramekin and place it on the plate,50,14,0.28
two-stream-v15-mp,libero_spatial,0,1,pick up the black bowl next to the ramekin and place it on the plate,50,24,0.48
two-stream-v15-mp,libero_spatial,0,2,pick up the black bowl from table center and place it on the plate,50,37,0.74
two-stream-v15-mp,libero_spatial,0,3,pick up the black bowl on the cookie box and place it on the plate,50,12,0.24
two-stream-v15-mp,libero_spatial,0,4,pick up the black bowl in the top drawer of the wooden cabinet and place it on the plate,50,6,0.12
two-stream-v15-mp,libero_spatial,0,5,pick up the black bowl on the ramekin and place it on the plate,50,3,0.06
two-stream-v15-mp,libero_spatial,0,6,pick up the black bowl next to the cookie box and place it on the plate,50,33,0.66
two-stream-v15-mp,libero_spatial,0,7,pick up the black bowl on the stove and place it on the plate,50,31,0.62
two-stream-v15-mp,libero_spatial,0,8,pick up the black bowl next to the plate and place it on the plate,50,24,0.48
two-stream-v15-mp,libero_spatial,0,9,pick up the black bowl on the wooden cabinet and place it on the plate,50,19,0.38
two-stream-v15-mp,libero_spatial,2,0,pick up the black bowl between the plate and the ramekin and place it on the plate,50,20,0.4
two-stream-v15-mp,libero_spatial,2,1,pick up the black bowl next to the ramekin and place it on the plate,50,23,0.46
two-stream-v15-mp,libero_spatial,2,2,pick up the black bowl from table center and place it on the plate,50,40,0.8
two-stream-v15-mp,libero_spatial,2,3,pick up the black bowl on the cookie box and place it on the plate,50,15,0.3
two-stream-v15-mp,libero_spatial,2,4,pick up the black bowl in the top drawer of the wooden cabinet and place it on the plate,50,10,0.2
two-stream-v15-mp,libero_spatial,2,5,pick up the black bowl on the ramekin and place it on the plate,50,8,0.16
two-stream-v15-mp,libero_spatial,2,6,pick up the black bowl next to the cookie box and place it on the plate,50,39,0.78
two-stream-v15-mp,libero_spatial,2,7,pick up the black bowl on the stove and place it on the plate,50,36,0.72
two-stream-v15-mp,libero_spatial,2,8,pick up the black bowl next to the plate and place it on the plate,50,19,0.38
two-stream-v15-mp,libero_spatial,2,9,pick up the black bowl on the wooden cabinet and place it on the plate,50,19,0.38
two-stream-v15-ptptk,libero_goal,0,0,open the middle drawer of the cabinet,50,44,0.88
two-stream-v15-ptptk,libero_goal,0,1,put the bowl on the stove,50,49,0.98
two-stream-v15-ptptk,libero_goal,0,2,put the wine bottle on top of the cabinet,50,49,0.98
two-stream-v15-ptptk,libero_goal,0,3,open the top drawer and put the bowl inside,50,38,0.76
two-stream-v15-ptptk,libero_goal,0,4,put the bowl on top of the cabinet,50,46,0.92
two-stream-v15-ptptk,libero_goal,0,5,push the plate to the front of the stove,50,35,0.7
two-stream-v15-ptptk,libero_goal,0,6,put the cream cheese in the bowl,50,32,0.64
two-stream-v15-ptptk,libero_goal,0,7,turn on the stove,50,49,0.98
two-stream-v15-ptptk,libero_goal,0,8,put the bowl on the plate,50,40,0.8
two-stream-v15-ptptk,libero_goal,0,9,put the wine bottle on the rack,50,47,0.94
two-stream-v15-ptptk,libero_goal,1,0,open the middle drawer of the cabinet,50,49,0.98
two-stream-v15-ptptk,libero_goal,1,1,put the bowl on the stove,50,43,0.86
two-stream-v15-ptptk,libero_goal,1,2,put the wine bottle on top of the cabinet,50,48,0.96
two-stream-v15-ptptk,libero_goal,1,3,open the top drawer and put the bowl inside,50,37,0.74
two-stream-v15-ptptk,libero_goal,1,4,put the bowl on top of the cabinet,50,50,1.0
two-stream-v15-ptptk,libero_goal,1,5,push the plate to the front of the stove,50,36,0.72
two-stream-v15-ptptk,libero_goal,1,6,put the cream cheese in the bowl,50,22,0.44
two-stream-v15-ptptk,libero_goal,1,7,turn on the stove,50,50,1.0
two-stream-v15-ptptk,libero_goal,1,8,put the bowl on the plate,50,37,0.74
two-stream-v15-ptptk,libero_goal,1,9,put the wine bottle on the rack,50,43,0.86
two-stream-v15-ptptk,libero_goal,2,0,open the middle drawer of the cabinet,50,40,0.8
two-stream-v15-ptptk,libero_goal,2,1,put the bowl on the stove,50,47,0.94
two-stream-v15-ptptk,libero_goal,2,2,put the wine bottle on top of the cabinet,50,48,0.96
two-stream-v15-ptptk,libero_goal,2,3,open the top drawer and put the bowl inside,50,31,0.62
two-stream-v15-ptptk,libero_goal,2,4,put the bowl on top of the cabinet,50,47,0.94
two-stream-v15-ptptk,libero_goal,2,5,push the plate to the front of the stove,50,34,0.68
two-stream-v15-ptptk,libero_goal,2,6,put the cream cheese in the bowl,50,34,0.68
two-stream-v15-ptptk,libero_goal,2,7,turn on the stove,50,50,1.0
